单词,中文翻译,记忆方法
guttle,狂吃，狼吞虎咽地吃,
guzzle,痛饮,联想puzzle：guzzle之后就puzzle
graft,嫁接，移植（表皮），渎职,记grow，跟种植/生长有一些关系
transplant,（器官）移植,
malfeasance,渎职,mal-坏，fea-fact做，ance-逐渐；feas-fact 表示做，做坏事
abscission,切除,abs-away，scissor-剪刀
gratuitous,无理由的,~ insult 无端的侮辱；~ violence 无端的暴力；=unprovoked（无缘无故的）；grat- = to please（高兴，满意），如 congratulation，grateful；联想 gratuity，想给你小钱是无理由的
gratuity,赏钱，小费,令你高兴的钱
ingratiate,讨好，迎合,in+动词+ate，使高兴，in表加强，让人高兴->讨好
gratify,使高兴，使满意，欣慰,~=satisfy，be gratified with ...
ingrate,忘恩负义者,in表否定，不感激的人
gratitude ,感激,
gregarious,社交的（social），群居的,greg-/gre-：gather 聚集
congregate,聚集，聚合,考GRE的同学一起con来到门gate前聚集
aggregate,聚集，集合，总计为,
segregate,种族隔离（se=apart）,不聚集，就隔离咯，主要是指人阶级/种族上的隔离
egregious,过分的，极不寻常的，臭名昭著的,~=flagrant；<e-out+greg-gather+ious 被群体抛弃 —— 臭名昭著的>
desegregate,废除种族隔离，民族融合,de-反义+segregate
insulate,（物体）绝缘，使隔绝,insular=island，岛的周围都是水，或者联想 sul-=单独一个
quarantine,疾病的隔离，隔离期,隔离在一个tin里，跑ran到罐子tin里；与quarter同源（四分之一）
estrange,使孤立，使隔绝,e-加强，加强让你strange（陌生）
sequester,隔离，隐居，与世隔绝,quest=question，远离se-apart世事，不再过问江湖，主动隐居；se-=apart，离开了不问世事
grievance,委屈，冤情,grav-heavy，-ance表示名词，联想gravity（重力），心情很沉重
grieve,感到悲痛，使伤心,grav-griev —— 心情沉重 - 悲伤
aggrieve,使委屈，使苦恼,
grill,烤肉/严加盘问/拷问,联想 gridiron
gridiron,铁格子,grid方格子，iron铁
broil,（英式）烧烤,br-分开+oil把肉切分开，抹上油—烧烤
grisly,恐怖的，令人毛骨悚然的,联想：鬼+rise，同源grim（记：grey灰色）
gruesome,狰狞的，可怕的,-some形容词后缀，例如 handsome，通过鬼联想记忆
macabre ,恐怖的,骷髅舞会，一个人带着骷髅面具
ghastly,可怕的,来自ghost
aghast,可怕的,来自ghost
grit,粗砂，勇气,记：great，勇气和伟大
spinelessness,胆小，怯懦,spine 脊椎，pin - 针，一个人没脊椎，没骨气
grouch,不高兴的人，心怀不满,gru，grou -- 心情郁闷有关
grumble,抱怨；咕哝；牢骚；隆隆声；发牢骚,gru - 心情不爽；gru-grave=心情沉重的
grouse,牢骚，诉苦,gru - 心情不爽
rejoice,心情高兴,飘柔，re-再一次，joy高兴
grumpy,脾气暴躁的,gru - 心情不爽；gru-与心情不好有关grumble
gullible,易受骗的,guile-欺骗，ible容易欺骗
gullibility,轻信，容易上当,谐音：傻了吧唧的
gull,海鸥，易上当的人,g-咕咕叫的是海鸥
lull,使安静，使入睡,~ sb to sleep；lullaby，摇篮曲；联想：l-啦啦啦是要睡觉
mull,仔细想，思考,m木讷的是在思考，不及物动词
null,无效的，值为零的,前面是no就无效；n表示否定
hull,硬壳，船身，船体,house开头是硬壳
cull,屠宰（slaughter）；精选（select）,c-cut开头的是屠宰
credulous,a. 轻信的，容易上当的，n. credulity,cred-=to beleive，联想 credit 信用卡
accredit,信任，授权,ac-加强
creed,信条,cred 变形，cred-=to beleive
credence,相信,ence名词后缀，cred-=to believe
hale,强壮的，矍铄的,来自health，一般形容老年人
exhale,呼出,
inhale,吸入,
robust,健康强壮的,<乐百氏>
sturdy,强壮的，健壮的,study身体要sturdy
hardy,1（人）强健的，能吃苦的；2耐寒的（植物）,命很硬hardy
salubrious,有益健康的=healthy,salu-=salvage=save=safe，救你之后变成健康
hallucination,幻觉，幻想,hal-holy，luc/lustr-=bright表示光亮的，神圣之光 —— 幻觉； hall 大厅开头有幻觉
lucid,清楚的，明白的,luc-=bright，词根+id形容词后缀，有光亮的
elucidate,阐释，阐明,e-表加强，使清楚明白
pellucid,清楚的=lucid. 透明的,pel-=per 表示 through，穿过去可以清楚
translucent,半透明的,让光穿trans过去
luster,光泽,lustrous；来自 lustr-=bright
lackluster,黯淡无光的,联想 luster
haphazard,偶然的，随便的（unplanned），无序的，凌乱的,随意的安排；hap-luck，hazard=danger，幸运和危险都是偶然发生的
accidental,（事件）偶然的,源自 accident
random,随机的,a random sample
systematic,系统性的,
casual,随便的,informal 非正式
hapless,倒霉的，不幸的,hap-=luck
mishap,灾祸，不幸,~=misfortune，hap-=luck
hassle,（言辞上的）激战，激烈的辩论/争论，困扰,"词中有 ""has"" + sle，反复有的麻烦"
haggle,（价格上的）争论不休,~=bargain
harry,困扰，苦恼,谐音：哈利波特，麻烦不断
harass,骚扰,sexual harassment 性骚扰；ass屁股很苦恼
pester,骚扰，纠缠,pest：害虫，er：动作的反复，害虫反复来纠缠
badger,使困扰,来自badge徽章->荣誉，荣誉太多很困扰
molest,猥亵，骚扰,及物动词，被摸mo——被猥亵
heirloom,传家宝,一个织布机loom是传家宝，herit-bequeath遗赠，继承；
heir,继承人,
heiress,女继承人,ess，表示的是女性的词尾
heirship,继承权,
inherit,继承,herit-bequeath遗赠，继承
inheritance,（继承的）遗产,
heritage,（文化）遗产,cultural heritage 文化遗产
legacy,遗产（口语）,legal同源，合法所继承的
disinherit,剥夺继承权,
heredity,疾病的遗传,her+edit（妈妈）她编辑好了传给孩子
loom,织布机，出现,100米——织布机，100座mountain——隐隐若现；loom up 出现；loom(so)large(问题）尤为重要，尤为突出
loop,圈，环,100个人people围成圈
loot,战利品/掠夺（口）,100ton吨战利品
loon,傻瓜,100个no——傻瓜
herbicide,除草剂,herb-=草，-cide=kill（来自于cut）
ecocide,生态灭绝,eco-=environment，-cide=kill
ecosystem,生态系统,
genocide,种族灭绝,杀死整个一代，-cide=kill，generation代
heresy,异端，异教,here-=hetero- 不同的
hearsay,谣言,听+说，道听途说的
rumor,谣言,
heretic,异教徒,heresy变体
heretical,异教的，异端的,heretic变体
hermetic,密封的，与外界隔绝的，深奥难懂的,同义词：opaque=recondite=eclusive；met遇见了她her（小龙女），她是个隐士
hermit,隐士,来自：Hermess赫尔墨斯（隐士）；Mercury墨丘利
commerce,商业,merc-trade，物物交换
mercury,水银,水银是易变的，联想 commerce
mercurial,雄辩机智的，活泼善变的，水银的,联想 mercury，水银 mercury 是易变的
mercenary,唯利是图的,ary形容词后缀，merc-trade，商人的特点
assorted,什锦的，各种各样的,as-加强，sort种类
sundry,种种的，各种各样的,来自sunder分开，东西都给分开了，全都不一样，~food
hackneyed,陈腐的，平庸的,hack n. 雇佣文人，劈，砍；反义词：hacker 黑客
original,新颖的，起初的,起初最先做的，就是新颖的
banal,平庸的腐朽的,"banal words；""ban""禁止，陈腐的习俗要禁止"
cliche,陈词滥调,
trite,陈腐的,
hover,盘旋,"单音节词汇中的""h""与""high""有关，high+over"
haughty,傲慢的,au=ei，height 高傲，傲慢的
hub,中心,The ~ of solar system，太阳系的中心
cub,幼崽，幼兽,被保护在核心的
hump,驼峰，驼背，隆起，弓起,-ump和崎岖不平有关，前面有个h表示high，高高隆起的是驼峰
hamper,阻碍，衣物篮,-ump，被鼓起的两个包挡住的
lump,大块，肿块,一大块面包
bump,肿块，撞击,b敲打，木棒，打了长出来包
slump,（数值，价值）暴跌,sl-表示向下滑，向下鼓包
plummet,突然下降,与slump同义
plump,丰满的,"<身材凹凸有致，""p""->胖胖一块lump"
clump,丛，簇,c包围，一大团包在一起，一丛灌木
rumple,弄皱，弄乱,"与crumple同义,re+ump+le 反复"
crumple,（使）皱,re+ump+le 反复
hypnosis,催眠状态，催眠,Hypnos 希腊神话中的睡神
hypnotize,催眠，使着迷，吸引,催眠之后，问什么就答什么，吸引住了
hypnotist,催眠师,ist 表示人
hypnotic,催眠的,
insomnia,失眠,Somnos：罗马神话中的睡神，in- 表否定
somnolent,催眠的，想睡的,联想：insomnia
soporific,催眠的，催人入睡的，安眠药,so+pore（精读），读书的时候混混入睡
sober,清醒的,
narcotic,麻醉的，昏睡的,一般是吸食药物之后的昏睡，nicotine（尼古丁）
hypocrite,伪君子，伪善者,hypo-:1.below;2.less
hypercritical,过于挑剔的,hyper-=high-:1.above;2.more；
hypocruitical,虚伪的,在下面批评，当面又不说
hypocrisy,伪善，虚伪,
hype,夸大的宣传，炒作,来自 hyper，过高地说一个东西
hyperbole,夸张法,
understatement,轻描淡写的,under-：低于，不足，state：陈述
hypothesis,假设，假说，猜测,不足的论点（thesis）——假设
hyperactive,极度亢奋的，多动症,负向词汇，不太正常的人，hyper过于active积极的
ideology,意识形态,idea
anthropology,人类学,anthro=people
genealogy,家谱学,研究人的gene基因的
meteorology,气象学,meteor，研究流星的是气象学
archaeology,考古学,arch-：之前，研究很早以前的东西
ecology,生态学,eco-：environment
2022-07-23 学习,,
imbroglio,杂乱的一团，纷扰，纠葛,im-表示“向里”，br和分开/分歧有关，卷入分歧 —— 纠葛
harmony,和谐,imbroglio 反义词
din,喧闹,<谐音：叮叮当当的声音>
ado,纷扰，纷乱,a表示否定，do做，没法做事很混乱
bedlam, 喧闹的样子，混乱的场面	,床上（bed）很乱
commotion,喧闹，骚乱,motion运动，全城一起com动起来很喧闹
impair,削弱，损害,和repair对照记忆
impalpable,触摸不到的，难解的,反义词：palpable；p和手掌有关，im-表示否定，-able表示能
palpate,触诊,p和手掌有关
palpitate,悸动，跳动,p和手掌有关
impudent,放肆无礼的，厚颜无耻的,pud-feel ashamed，im-表示反向：不会不好意思——无耻；（pun-punish）
repudiate,断然拒绝，否认，拒绝，=refuse,~=refuse，reject，decline；re-反向，pud-feel ashamed，反过来让别人不好意思；pud-害羞
imprudent,轻率的,prudent-provident，vid-=vis-=看
provident,有远见的，未雨绸缪的,"一个人看得远的,pro=前，vid=看"
prudent,审慎的，小心谨慎的,prudent-provident
incandescence,白炽，白热,"-escence表""主键""，cand-=white，联想 candle 是白色的，古代 candidate 都是身穿白色，“逐渐变白”"
candor,坦白，直率,cand-white
candid,坦白的，坦诚的,cand-white
inchoate,未形成的，早期的，不完全的，混乱的,在里面in初始chu-cho状态的；<inch英寸，刚出现一点点>
embryonic,胚胎的，初始的，未完全形成的,br出生有关
embryo,胚胎,br-开头的词，跟分开，分歧，出生有关
incipient,起初的，初始的,cip-=cap-=首都/头，在里面in刚刚露头cip
rudimentary,初步的，基础的,源自root，可以想成 rootiment
rudiment,基本原理；萌芽,rud=root，根本，初步，crude
erudite,博学的,e表示“向外”，从粗鲁之中走出
incubate,孵卵，孵化,in表加强，cub表示幼兽，加强使之出来一个幼崽
incubator,育儿箱，孵化器,incubate变体
incubation,疾病潜伏期,cumb/cub = lie down 躺下，cucumber（黄瓜）
incubus,梦魇=nightmare,in-表示否定，躺不下去；cumb/cub = lie down 躺下
cumber,阻碍,躺在那里 in the way，er 表示动作的反复
encumber,阻碍,en加强+cumber
incumbent,在职的，现任的，有责任的，有义务的,It's incumbent on sb to do sth；躺在职位上的人
recumbent,斜躺，斜倚的,re表示back，往后躺
concubine,妾,躺在一起的人
succumb,屈服（to）,succ-=sub-下，躺在下面是屈服
indigenous,本土的=native；天生的，先天的,"反义：acquired 后天习得的；<in-not+di-apart+gen-race+ous，""从来没有离开这个民族的"" —— 本土>"
indigent,贫穷的=impoverished,本土很贫穷
indignat,愤慨的，愤怒的,in-not+dignity 失去尊严 —— 愤怒
indolent,懒惰的,in-not+do- 什么都不做 —— 懒惰
indolence,懒惰,
condolence,哀悼，悼念,condole - 哀悼，悼念，一起哀悼（谐音：dole-悼念）
redolent,a. 回忆的，想起；n. 芳香的,re-back + do 做以前的事情
recall,回忆起，想起,给以前的朋友打打电话
recollect,回忆，想起,收藏以前的东西
ineffable,不能说的，避讳的，不应说出的,"in-表示""不""，ef=ex，fab=speak：fable（寓言故事）"
affable,和蔼可亲的,af-to 和别人说话的
ineffaceable,难以抹去的,efface 表示擦除，抹去
infatuation,迷恋,fatu=silly（愚蠢）
infatuate,痴迷于,be infatuated with，（贬义的爱）
fatuous,（人的思想）愚昧的，愚蠢的，昏庸的,很胖（fat）所以很蠢
fatuity,愚昧，愚蠢,fatuous 变体
have a crush on,爱上比自己大很多的人,
infinitesimal,无穷小的,infinite 无限 + small，无限的小
minute,微小的，琐碎的,来自于mini
iota,少量，微量,希腊的第九个字母，比较靠后，所以也表示小；an ~ of（有亮点的词组，用于否定句中）
pittance,少量，微薄的工资,来自 pity（可怜的）；少得可怜的
meagre,极少的,英式写法/美式写法；来自micro-联想：m-妈+eager，因为极少，所以妈妈渴望更多
meager,极少的,英式写法/美式写法；来自micro-联想：m-妈+eager，因为极少，所以妈妈渴望更多
infraction,违反，侵害,in 往里，fract\frag=to break fragment(碎片）
infract,违反，侵犯,不及物动词，搭配 on 使用
fraction,分数，少量,a fraction of sth.
fracture,骨折,骨头分开
suffrage,投票,往下打：古希腊将陶瓷打碎把碎片当作选票
fracas,喧闹,as“像”打架似的——吵闹
faction,派系，小团体,来自fact=做，各做各的事儿
ingestion,摄取，吸收,往里 digest，词根 gest-=to carry：1fer；2port；3gest
ingest,摄取，吸收，消化,
indigestion,消化不良,in-否定，digest 消化
congest,拥堵，充满，充血,同时带来；be congested with 挤满
gestate,酝酿，怀孕,带来生命
inquisitive,好奇的，刨根问底,动词：inquire；in+question，深入询问——刨根问底，quisit/quire/quest=to seek
acquisitive,贪婪的，物欲重的,来自acquire，什么都想 acquire 的
requisite,必须的，必需品,反复寻求——必须得到
exquisite,精致的，精美的,寻求外部的精美
prerequisite,先决条件,pre-之前，之前就要必须有的
curious,好奇的,be curious about
insatiable,不知足的，贪得无厌的,不能满足的，in-not 不能 satisfy，sati=satisfy=full
satiate,过于满足，使厌腻,be satiated with，贬义色彩
saturate,<化>使饱和，浸透，浸湿,satisfy
satisfactory,令人满意的,fact做得令人满意
satire,讽刺，讽刺性文章,sati+tire=满足后便厌腻->讽刺
satirical,讽刺性的,源自satire
ironic,讽刺的,ironically，转折的感觉
sarcastic,讽刺的,
instill,灌输,灌输=infuse；st 站在里面
implant,灌输,种在里面
inculcate,灌输,culc=cult--grow，将文化灌输进去
distill,蒸馏，提取,dis-分开
integrity,正直，诚实；完整性,integr-=whole
integer,整数,
integrate,使综合，使成为整体,IC = integrated circuit 集成电路
integral,完整的，必须的，重要的,
disintegrate,解体，使不完整，裂成碎片,dis-否定+integrate->不完整的
dismember,瓦解，肢解,dis-apart分开，member成员，把成员全都分开了->瓦解了
amputate,截肢,am-an=not+put，不放在身上了
inter,埋葬=bury,ter-=terr 表示“土地”，在土里
Mediterranean Sea,地中海,
territorial integrity,领土完整,
terrestrial,陆生的,ter+rest+rial=在陆地上休息——陆地栖息的
Extraterrestrial,外星人,extraterrestrial，外星的，地球以外extra的
disinter,挖掘,
unearth,挖掘,earth-土地，un-否定
terrace,看台，梯田,race-比赛，看比赛的地方（ter+race）
terrain,地势，地形,ter+rain，雨后的土地很难走->地势地形
inhume,埋葬,hum同样可以表示土地（human），主要是埋葬尸体
exhume,挖掘,hum同样可以表示土地（human），主要是挖掘尸体
humane,有人性的，仁慈的,人有人性的
humiliate,使尴尬，使窘迫,~=embarrass
humid,潮湿的,人充满了水分
humidifier,加湿器,
intermittent,间歇地，断断续续的=interval,at intervals 时而，mit/miss=send 送，如 transmit，做一件事的时候不断往中间送进来，插入打断的感觉
remit,汇款，赦免,把钱送mit回去re；把人送回去——赦免
remittance,汇寄,
remission,赦免,
demise,n. 死亡,往下送，送入地下 de+mis
surmise,猜想，猜测,sur-more + mis=多送出一些信息——猜测
intersperse,散布，点缀,inter-between，sperse=spread，在中间散开 —— 点缀
disperse,驱散（人群）,dis-apart，sperse=spread
asperse,诽谤,a-to，去散播一句(a)谣言-诽谤，aspersion n.
sparse,稀疏的，零星的,散开的；稀疏的火花（spark）
density,浓密的,
inveterate,根深蒂固的，成瘾的,来自 veteran（老兵/老手），用法：inveterate smokers 老烟鬼
ingrained,根深蒂固的，成瘾的,grain谷物，谐音在“骨子”里的；或者 谐音：inbrain的（在脑子里）
incorrigible,不可救药的,corri=correct 不能修改的
invidious,招人嫉妒的，招人烦的,"vid/vis=see,in-not，不愿意看 —— 招人讨厌"
envisage,展望，设想,en-表示加强，-age表示动作的结果
envision,展望，设想,
jeopardy,危险,联想：jeep+ard+y，吉普车有危险 = hazard
peril,危险,per=through 表示一直，il 联想 ill，一直生病很危险
imperil,危险,
perilous,危险的,
jocular,诙谐的,joke = facetious
waggish,诙谐幽默的,像狗一样wag摇尾巴
jocularity,诙谐幽默,
jocose,诙谐的,-ose结尾的形容词=表示多，笑话Joke多->诙谐的
jocund,欢乐的，高兴的,-und--adj形容词后缀，讲笑话令人高兴的，快乐的
jovial,快活的，高兴的，愉快的,jov-=joy
jolly,快乐的，高兴的,
jubilant,快乐高兴的,n. jubilantion
jubilee,周年纪念日,高兴的日子
anniversary,周年纪念日,silver=25年，golden=50年，diamond=60年，silver jubilee；anni=year
biannual,一年两次的,bi-二，anni=year；相比 biennial，次数多的就是一年两次
biennial,两年一次的,bi-二
judicious,明智的,jud/judic=judge，充满了判断 —— 明智
adjudicate,仲裁，判决,ad-to表示加强，去判断 —— 判决
judicial,司法的,judicial proceeding 司法程序
judicature,法院，司法部,与 legislature 一起记忆
legislature,立法机构,与 judicature 一起记忆
canny,精明的,cunning 狡猾的，running cunning，遇到事情就跑掉
shrewd,精明的,谐音：识数的，识数的最精明
astute,精明的，敏锐的,as-to+tutor（vip一对一教学） —— 作为as教师tutor也是很精明的
untutored,未受过教育的,tutor —— 一对一教学
kempt,（衣着）整洁的，梳理好的,形近词放在一起记忆：kept/ kempt 保持整洁；kemp-=comb 梳子
unkempt,邋遢的,
dapper,(男性）衣冠楚楚的,男生不用穿的奢侈，干净就好
dowdy,邋遢的,down-下，衣着向下拖到地上了
coxcomb,纨绔子弟；花花公子,爱打扮的男生，comb 梳子
kernel,核心,联想 core 核心，kernel 相当于 core；cor-ker，核心
essence,精华,联想：ess-ex-向外暴露森林里的精华
essential,本质的,
marrow,核心，骨髓，精髓,形近词 narrow；狭窄的骨缝当中有精髓
pith,核心，精髓,形近词：path，有捷径，懂得精髓
knack,诀窍，本事，才能,形近词：knock，敲开敲门砖
flair,天资，才华,fl-fly+air=飞在天空中，天生会飞的；flash，一个人的闪光之处 - 才华
lackadaisical,懒洋洋的,lack，缺乏，懒洋洋的；lac=lax=loose（松），整个人批发松懈（relax）
lax,松懈的，腹泻的,谐音：la拉稀x
diarrhea,拉肚子,
laxative,放松的，通便的，泻药,lax-松懈的
slack,松懈的=loose懈怠的；松，萧条的,s起到加强语气的作用
taut,紧的,来自 tight
laconic,简洁的，简明的,Laconia，这个地方的人说话很简洁；
succinct,简短的，简洁的,联想 succeed；成功的人往往很简洁
terse,简短的（指文字），简洁,terse-text 简洁的短信
pithy,精炼的，简洁的,道路狭窄-精髓，pith
verbose,累赘的,-ose 表示多，动词verb很多ose是累赘
loquacious,话多的,loqu-=log-=说话，ious多
prolix,冗长的，累赘的,pro 表示向前，lix=liquid 像液体一样向前流淌的
garrulous,话多的，饶舌的,gar-carry+rule=带来太多规则说教——话多的
languid,疲倦的，无力的，没精打采的,谐音：懒鬼的
languish,憔悴,
languor,疲乏,
lacerate,割裂,lacer-laser=激光割裂；谐音：镭射
lassitude,疲乏，疲惫,-tude 表示抽象名词后缀，lass=lax（松弛的），联想 lazy
turpitude,卑鄙，邪恶,同源：disturb，扰乱社会——品质恶劣；disturb，打扰别人的态度是很卑鄙，邪恶的
ineptitude,无能,inept 无能的，adept 熟练的
vicissitude,（社会时代）兴衰，变迁,vic-vis看到中国的巨变
platitude,陈词滥调=cliche,陈腐，平庸；plat-=flat 表示平，平庸的话是陈词滥调
solitude,孤独，寂寞,solid
solicitude,牵挂，想念,比 solitude 多了个 ci，多了个思念
magnitude,重要性，事物的大小,mag=max=large，重大
multitude,许多，大量，群众,~ of sth.；multi-many
fortitude,毅力,来自 force，力量
latent,潜在的，潜伏的，潜藏的,n. latency，late- 迟来的——潜在的，latent power
potential,潜在的,
lateral,横向的，侧面的,later-: side 边
bilateral,双边的,bi-二，later-：side 边
unilateral,单边的,uni- 一个
equilateral,等边的,equi- equal
multilateral,多边的,multi - many
literal,按字面意思的，逐字的,literal translation 直译 VS liberal translation 意译；liter-=letter 与文字有关
literary,文学的,
literate,识字的，有文化的,
illiterate,不识字的，文盲的,il-否定
obliterate,抹去，擦除,ob：1加强2除去；ob-表示反向，没有文字——将文字擦除
purgative,泻药,purg=pure，使肠胃干净
purgatory,炼狱，受苦受难的地方,洗净灵魂的地方
purge,清洗，使纯净,
expurgate,删除（文字）,ex-to+purg+ate——清洁干净 —— 删除；清洗pure大门小广告是删除
leniency,宽大，仁慈，温和，慈悲宽厚的行为,同 clement
lenient,（人）宽厚仁慈的,lent=soft，软
relent,变宽厚，变温和,联想：lent，可以反复借给你东西的人使宽厚的人
relentless,无情的，冷漠的,relent+less后缀
lethargic,昏睡的，瞌睡的，漠不关心的，缺乏热情的,Lethe 希腊神话中冥界 —— 遗忘河（谐音：立死）
lethargy,昏睡的样子，瞌睡, 
lethal,致命的,谐音：立死
liquidate,清算，结清,liquid 表示液体，也可以表示清澈的，-ate 表示动词
liquefy,使液化,fy 结尾是……化
maelstrom,大漩涡，社会混乱,<mael-male-evil，storm邪恶的大风雨是漩涡>
eddy,漩涡（水流或气流的）,
whirlpool,（水的）漩涡,whirl-转，在水池里不停地转
pandemonium,魔窟，大混乱,pan-前缀，全部，demon=魔鬼，”群魔乱舞的地方“
2022-07-24 学习,,
magnanimous,宽宏大量的，有雅量的，坦荡,magn--large，anim表示breathe呼吸，”大，气，的“
magnate,巨头,magn--large
tycoon,大款,（日语）谐音：ty->大，coon->款
magniloquent,吹牛的，夸夸其谈的,magni大，loqu说，ent形容词后缀，说大话的
animate,活的，有生气的，赋予生命，制作动画片，鼓励，激励,anim- = to breathe
unanimous,意见一致的,un-uni（一个）+anim-breathe+ous——异口同声，大家同喘一口气，同 consensus
pusillanimous,胆小的,pussy 孬种=coward=craven，像懦夫一样喘气
equanimity,沉着，镇定,呼吸很平均，大气不喘，equa-equal+anim+ity
animosity,敌意，怨恨,生气了，来气了，同：animus
hostile,敌意的,联想，像主人一样充满敌意
hospitable,友好的,联想，像医院一样友好的
maladroit,不灵巧的,adroit 灵巧的，mal-坏，不好的 —— 不灵巧的
gauche,粗糙的，笨拙的,联想：”高车“，车很高移动起来是笨拙的
ungainly,笨拙的,un-not+gain（获得）+ly，怎么学也学不会
malaise,不舒服，小病，不适,联想，爱ai射se的人身体很差mal
ailment,病痛,人生病（ail一种病）的时候需要营养（aliment）
aliment,营养，食物,alimentary营养的
mandatory,命令的，强制的,和command同源，命令，词根mand-=order命令
mandate,命令,
remand,押回,命令一个人回去，押回
countermand,取消命令，撤销命令,counter表示against相反
obligatory,命令的，必须的，强制的,来自 obligation
obligation ,义务,联想，ob不能进去里面li采集gat
compulsory,义务的，必须的,联想，一起com拉取pul故事sory去做事是每个员工都得做的
imperative,命令的，必要的,源自 emperor（帝王，皇帝）；联想，在皇宫里面im必须一直per保持活跃ative
maniacal,发狂的，疯狂的,来自 mania
mania,狂热,来自 crazy；联想，谐音money诶，看到钱就很狂热
hysteria,歇斯底里，竭斯底里，情绪失控,负向的疯狂；联想，这人疯了站在st很高hy的地方
pyromania,纵火狂,pyro-=fire 火 + mania（狂）
kleptomania,盗窃癖,klept-kept保持别人东西的癖好
megalomania,自大狂,meg-=mag表示大
dipsomania,嗜酒症,dip蘸dipso-=drink，蘸点酒
marital,婚姻的,来自 marrige
martial,军事上的,来自战神马尔斯Mars，martial arts 武术
martinet,严格遵守纪律的人,et作为名词后缀来说，是小的意思，军事（martial）里面的人——严于律己
nuptial,婚姻美满,~=bliss
prenuptial,婚前的,
postnuptial,婚后的,
melancholy,忧郁,melan-=black，cho-=bile 胆汁，人在忧郁的时候胆汁发黑；联想：me+blue=我+蓝=忧郁
saturnine,忧郁的，悲伤的,Saturday+nine，星期六还加班到晚上九点——悲伤
lugubrious,忧郁的，不开心的,拼音：lu gu-露骨，露骨的批评
somber,忧郁的,umber-shadow（umbrella），生活在阴影之下；联想，有些some熊bear很犹豫
adumbrate,预示,ad-加强，umber-阴影，出现了阴影 —— 预示
mercantile,商人的，商业的，贸易的,merc-trade；联想 commerce
merchandise,商品,merc-trade
caprice,（人的性格）善变；任性善变，突发奇想,联想：price 是易变的（注意不能表示数字的易变）
meretricious,华丽而庸俗的，俗气的，娼妓的,"~=gaudy=garish=tawdry；mere=only，tric-trick，""仅仅就是欺骗，表面骗局而已"""
meritorious,值得赞赏的,来自 merit 优点
demerit,缺点,
metamorphose,（外观，形态上的）变形，变质，使变成,meta-to change；morph--form
metaphor,暗喻,phor=fer，带来phor改变（meta）
simile,明喻,联想，谐音see看mile仔细，能够看得很仔细的不就是明示了吗
metabolism,新陈代谢,meta-to change，联想：meta改变你的玻璃心bolism
morphology,形态学,
transmogrify,变形,trans（转换）+mog-morph= transform
transfigure,使改观，使美化,figure 表示身材，身形
meticulous,小心翼翼的，细致,遇见met+cult邪教（culture另类文化），要小心谨慎地对待
metropolitan,首都的，主要都市的,matr/mater-mother，母亲（metr）城市（polit）
metropolis,首府，大都市,matr/mater-mother
maternal,母系的,matr/mater-mother
paternal,父系的,patr/pater-father
fraternal,兄弟般的,fratr/frater-brother
maternity,母性，母道,maternity leave 产假，compassionate leave 事假（同情假）
fraternity,兄弟情，手足情，兄弟会，联谊会,
sorority,姐妹会,联想，谐音rori萝莉
matriarchy,母系氏族，女族长制,archy统治有关，matr-mother
patricide,弑父,patr-father，cide-杀死，杀爹
patron,老主顾,~=regular costumer，on后缀是小有关的，小小的人物，像爹一样，衣食父母——客人（常客）
patronize,关顾，赞助，保护，庇护,常客经常关顾店
patriotism,爱国主义,patr-引申为国家的含义了，共同的父亲
patriot,爱国人士，爱国者,
expatriate,驱逐,ex-表示向外，赶出国家，联想patri国家
repatriate,遣返,re-back，又回到这个国家，联想patri国家
compatriot,同胞,com都是一个patr爹（国家），联想patri国家
countryman,同胞,
migratory,迁徙的，流浪的,migrate迁徙 migr-=move
migratory birds,候鸟,~=avian migrant
emigre,流亡者,e-往外，让他搬走
transmigration,轮回,trans-转换（阴间->阳间）
nomadic,流浪的，游牧民族的,联想：没有no妈妈ma的关爱 —— 流浪的
nomad,游牧民,
mince,切碎,源自 minute（微小的）
wince,畏缩，害怕,联想，win赢了就把你切碎mince
misgiving,疑惧，疑虑,mis-=1mistake;2hate; 给giving错mis人了，有点焦虑，害怕
mischief,恶作剧,chief 首领，痛恨mis首领->搞恶作剧
mischievous,恶作剧的，淘气的,
misperceive,误解,~=misunderstand
perceive,感觉,联想receive，收到/感觉到
misinform,提供某人错误信息，误导,mis错误inform通知
miscreant,恶棍,cre=create，制造错事的人
misanthrope,厌世者,mis=痛恨，authrop-people痛恨人类的人是厌世者
modish,流行的，时髦的,同源：modern（现代化，时尚） mod——样式，方法
mode,样式，方法，风格，时尚,model 模型
outmoded,过时的,moded时尚，out过了
commodity,商品,com一起mod样式，各种各样的东西放在一起；~ society商品社会；~ economy商品经济
commodious,宽大的，宽敞的,能够给很多人提供住宿（accommodate）
accommodate,提供住宿，容纳,
modulate,调整，调节,及物动词；ate动词后缀，调整-模式mode
moderate,中等的，适度的，有节制的，减轻，缓和,mode，很符合模式的东西->适度，有节制的
modest,适度的，谦虚的,
monogamy,一夫一妻制,gam-=marriage，结一次（mono-single）婚（gam）是一夫一妻制
polygamy,一夫多妻制,poly-many，结多次婚
polyandry,一妻多夫制,poly-many
misogamy,厌婚,mis-hate，gam-marrige
bigamy,重婚罪,bi-二，gam-marriage
monopoly,垄断,~on；-mono垄断，多poly，一垄多
